estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
COLIMA,CIUDAD DE ARMERIA,BANAVIM,ALTA,COLIMA,CIUDAD DE ARMERIA,False,,,,,,False
COLIMA,CIUDAD DE VILLA DE ALVAREZ,BANAVIM,ALTA,COLIMA,CIUDAD DE VILLA DE ALVAREZ,False,,,,,,False
COLIMA,COLIMA,BANAVIM,ALTA,COLIMA,COLIMA,False,COLIMA,Colima,06,002,06002,True
COLIMA,CUAUHTEMOC,BANAVIM,ALTA,COLIMA,CUAUHTEMOC,False,CUAUHTEMOC,Cuauhtémoc,06,005,06005,True
COLIMA,MANZANILLO,BANAVIM,ALTA,COLIMA,MANZANILLO,False,MANZANILLO,Manzanillo,06,007,06007,True
COLIMA,MINATITLAN,BANAVIM,ALTA,COLIMA,MINATITLAN,False,MINATITLAN,Minatitlán,06,008,06008,True
COLIMA,TECOMAN,BANAVIM,ALTA,COLIMA,TECOMAN,False,TECOMAN,Tecomán,06,009,06009,True
DURANGO,DURANGO,BANAVIM,ALTA,DURANGO,DURANGO,False,DURANGO,Durango,10,005,10005,True
DURANGO,GOMEZ PALACIO,BANAVIM,ALTA,DURANGO,GOMEZ PALACIO,False,GOMEZ PALACIO,Gómez Palacio,10,007,10007,True
DURANGO,GUADALUPE VICTORIA,BANAVIM,ALTA,DURANGO,GUADALUPE VICTORIA,False,GUADALUPE VICTORIA,Guadalupe Victoria,10,008,10008,True
DURANGO,LERDO,BANAVIM,ALTA,DURANGO,LERDO,False,LERDO,Lerdo,10,012,10012,True
DURANGO,PUEBLO NUEVO,BANAVIM,ALTA,DURANGO,PUEBLO NUEVO,False,PUEBLO NUEVO,Pueblo Nuevo,10,023,10023,True
GUANAJUATO,CELAYA,BANAVIM,ALTA,GUANAJUATO,CELAYA,False,CELAYA,Celaya,11,007,11007,True
GUANAJUATO,GUANAJUATO,BANAVIM,ALTA,GUANAJUATO,GUANAJUATO,False,GUANAJUATO,Guanajuato,11,015,11015,True
GUANAJUATO,LEON,BANAVIM,ALTA,GUANAJUATO,LEON,False,LEON,León,11,020,11020,True
GUERRERO,ACAPULCO DE JUAREZ,BANAVIM,ALTA,GUERRERO,ACAPULCO DE JUAREZ,False,ACAPULCO DE JUAREZ,Acapulco de Juárez,12,001,12001,True
GUERRERO,BENITO JUAREZ,BANAVIM,ALTA,GUERRERO,BENITO JUAREZ,False,BENITO JUAREZ,Benito Juárez,12,014,12014,True
GUERRERO,CHILPANCINGO DE LOS BRAVO,BANAVIM,ALTA,GUERRERO,CHILPANCINGO DE LOS BRAVO,False,CHILPANCINGO DE LOS BRAVO,Chilpancingo de los Bravo,12,029,12029,True
