escenario,tipo,estado_municipio
ALTA,solo_banavim,MEXICO - MALINALCO
ALTA,solo_banavim,MEXICO - MELCHOR OCAMPO
ALTA,solo_banavim,MEXICO - METEPEC
ALTA,solo_banavim,MEXICO - NAUCALPAN DE JUAREZ
ALTA,solo_banavim,MEXICO - NEZAHUALCOYOTL
ALTA,solo_banavim,MEXICO - NICOLAS ROMERO
ALTA,solo_banavim,MEXICO - OCOYOACAC
ALTA,solo_banavim,MEXICO - OCUILAN
ALTA,solo_banavim,MEXICO - OTUMBA
ALTA,solo_banavim,MEXICO - OTZOLOTEPEC
ALTA,solo_banavim,MEXICO - RAYON
ALTA,solo_banavim,MEXICO - SAN ANTONIO LA ISLA
ALTA,solo_banavim,MEXICO - SAN FELIPE DEL PROGRESO
ALTA,solo_banavim,MEXICO - SAN MATEO ATENCO
ALTA,solo_banavim,MEXICO - TECAMAC
ALTA,solo_banavim,MEXICO - TEJUPILCO
ALTA,solo_banavim,MEXICO - TEMOAYA
ALTA,solo_banavim,MEXICO - TENANCINGO
ALTA,solo_banavim,MEXICO - TENANGO DEL AIRE
ALTA,solo_banavim,MEXICO - TENANGO DEL VALLE
ALTA,solo_banavim,MEXICO - TEOLOYUCAN
ALTA,solo_banavim,MEXICO - TEOTIHUACAN
ALTA,solo_banavim,MEXICO - TEPOTZOTLAN
ALTA,solo_banavim,MEXICO - TEQUIXQUIAC
ALTA,solo_banavim,MEXICO - TEXCALTITLAN
ALTA,solo_banavim,MEXICO - TEXCOCO
ALTA,solo_banavim,MEXICO - TEZOYUCA
ALTA,solo_banavim,MEXICO - TIANGUISTENCO
ALTA,solo_banavim,MEXICO - TLALMANALCO
ALTA,solo_banavim,MEXICO - TLALNEPANTLA DE BAZ
ALTA,solo_banavim,MEXICO - TOLUCA
ALTA,solo_banavim,MEXICO - TULTEPEC
ALTA,solo_banavim,MEXICO - TULTITLAN
ALTA,solo_banavim,MEXICO - VALLE DE BRAVO
ALTA,solo_banavim,MEXICO - VALLE DE CHALCO SOLIDARIDAD
ALTA,solo_banavim,MEXICO - VILLA DEL CARBON
ALTA,solo_banavim,MEXICO - VILLA GUERRERO
ALTA,solo_banavim,MEXICO - ZINACANTEPEC
ALTA,solo_banavim,MEXICO - ZUMPANGO
ALTA,solo_banavim,MICHOACAN - CUITZEO
ALTA,solo_banavim,MICHOACAN - HIDALGO
ALTA,solo_banavim,MICHOACAN - HUETAMO
